ID_start,ID_end
SVO,TUN
TUN,SFO
SFO,MNL
MNL,IST
IST,SEA
SEA,SZX
SZX,MEL
MEL,LAX
LAX,CDG
CDG,ATL
ATL,CAN
CAN,PEK
PEK,CAI
CAI,SIN
SIN,HND
HND,SCL
SCL,LAS
LAS,DFW
DFW,IAH
IAH,AMS
AMS,PVG
PVG,YYZ
YYZ,EWR
EWR,SDU
SDU,CLT
CLT,JNB
JNB,SHA
SHA,CPT
CPT,DXB
DXB,FRA
FRA,GRU
GRU,HRG
HRG,SYD
SYD,ORD
ORD,TPE
TPE,BKK
BKK,EZE
EZE,MAD
MAD,BOS
BOS,LIM
LIM,KUL
KUL,DEL
DEL,BSB
BSB,XIY
XIY,PHX
PHX,CMN
CMN,DMK
DMK,CGK
CGK,CBR
CBR,CLO
CLO,SGN
SGN,LOS
LOS,BOM
BOM,BCN
BCN,ALG
ALG,LHR
LHR,HKG
HKG,MCO
MCO,AKL
AKL,HGH
HGH,KMG
KMG,ADL
ADL,LGW
LGW,DEN
DEN,JED
JED,ADD
ADD,ICN
ICN,NBO
NBO,BOG
BOG,JFK
JFK,MIA
MIA,CKG
CKG,MEX
MEX,DOH
LGW,CAN
TUN,LGW
CMN,KUL
ATL,CDG
AMS,DEN
DEL,AKL
BSB,MEL
MEX,CKG
CKG,SVO
LOS,LAX
TUN,AMS
JNB,MEX
CLO,PHX
DEN,DMK
JNB,BOM
TUN,JNB
CAI,MEL
IAH,TPE
ADL,BKK
ADD,SDU
DOH,NBO
ALG,HRG
BOG,TPE
MEX,HND
HGH,DFW
CLT,CMN
CPT,BOG
AKL,DMK
HGH,CPT
SDU,NBO
ADD,EWR
SIN,AKL
HKG,DEL
HRG,TUN
LIM,SYD
MEL,NBO
GRU,HKG
DFW,JED
BOG,DFW
JED,SVO
CGK,HGH
HRG,YYZ
JNB,IST
ATL,PEK
HGH,JNB
BOM,ORD
ALG,SIN
CLO,BSB
SHA,CGK
MAD,YYZ
MEX,MAD
SDU,SEA
DEN,ICN
JNB,KUL
GRU,SCL
NBO,ALG
SCL,SVO
HRG,MEX
CGK,PEK
SFO,DXB
ADL,SDU
SHA,MIA
CAI,GRU
DOH,DMK
DMK,SHA
HRG,HKG
SHA,FRA
DEL,HKG
LAS,CAI
BKK,HND
DMK,CDG
LOS,ICN
SDU,LGW
GRU,IAH
PHX,JFK
FRA,BSB
HND,TUN
BCN,ADD
CKG,FRA
SGN,ADD
ALG,YYZ
EZE,DXB
MIA,SFO
CDG,IAH
SCL,DEL
BOG,SHA
ADD,CPT
JNB,LGW
BKK,MEL
MEX,CMN
YYZ,CAI
EZE,TPE
CLO,BOM
CAN,ICN
CDG,IST
ORD,CAI
HRG,TPE
DMK,MIA
DEN,CLO
MIA,CPT
HGH,LAS
SIN,MCO
FRA,NBO
CPT,CKG
CMN,BCN
MCO,BOS
HGH,SCL
CMN,MCO
DEN,AKL
IST,LAX
CBR,CDG
LOS,PVG
SGN,IST
DEN,LOS
DFW,EWR
HRG,CDG
PHX,ADD
MEL,SVO
SIN,EZE
CMN,SIN
TUN,DOH
AKL,DOH
HND,CAI
CDG,CPT
PVG,BSB
CBR,CPT
ADD,DFW
LGW,CGK
PVG,IAH
SGN,TUN
JNB,IAH
FRA,TPE
CKG,DMK
CKG,MAD
CLT,ICN
MEX,TUN
AKL,LGW
JFK,CBR
SGN,MEL
BOG,NBO
MIA,LOS
SVO,MNL
PVG,TPE
MNL,HKG
ALG,CPT
LOS,GRU
JNB,CMN
SZX,PVG
AKL,NBO
SVO,IST
CMN,ICN
PVG,ADD
PHX,DXB
LAS,SYD
AKL,CLT
LIM,CAN
JED,ORD
YYZ,XIY
ALG,BOM
NBO,ORD
MAD,LOS
CMN,DOH
PVG,LIM
SDU,MEX
DMK,CPT
GRU,DMK
MIA,ALG
SYD,CAN
LAX,JED
XIY,IAH
SVO,AKL
SYD,CDG
IST,SFO
BOS,LGW
SVO,AMS
SZX,MIA
NBO,DFW
SGN,PVG
ADD,SZX
IST,LGW
ALG,SVO
SEA,MCO
DOH,SDU
HND,MAD
ICN,BOS
KMG,MCO
BOS,DMK
MIA,PEK
HGH,TPE
CGK,JFK
MNL,CBR
LGW,PEK
NBO,LOS
XIY,HGH
SGN,BOG
DMK,LIM
LHR,MEX
ADL,EWR
KMG,SYD
YYZ,HGH
SDU,TPE
JED,ADL
MAD,EZE
MIA,ORD
SFO,IST
BSB,SYD
GRU,SDU
JFK,LGW
BOS,SDU
ATL,MCO
AMS,ADL
DEN,BSB
LGW,BCN
ATL,MIA
YYZ,BOM
JED,ATL
CAI,BOS
MEX,TPE
DFW,SGN
CAI,SYD
BCN,LIM
CMN,IST
BKK,YYZ
MNL,PHX
KUL,KMG
ADL,MEX
MCO,TUN
SIN,CBR
GRU,ALG
YYZ,MAD
DFW,LOS
ORD,DEL
JED,SIN
CAI,AMS
EWR,LGW
ICN,LAS
JNB,DFW
BSB,ADD
JED,HND
LIM,DEN
BKK,LIM
JED,KMG
HGH,ORD
ADD,JFK
SZX,KMG
BOM,SIN
SZX,YYZ
ICN,SDU
PVG,PHX
HKG,HGH
LAX,MNL
MEX,BKK
DOH,ADL
IAH,DMK
JNB,ADL
BOM,FRA
PHX,MCO
DXB,ADD
HKG,IST
ALG,TPE
EWR,ICN
AMS,TPE
LIM,SDU
KMG,BSB
CAI,SCL
BOG,KUL
MEX,DEN
YYZ,BCN
DOH,KMG
SGN,AKL
HKG,CDG
SIN,HKG
ICN,BKK
PVG,SZX
HND,PHX
HKG,SDU
CLT,DEN
SGN,CLO
PVG,ATL
IAH,ICN
CAN,CBR
LAS,SVO
SYD,BKK
LGW,SGN
CDG,HKG
LAX,ATL
HGH,ALG
XIY,HRG
SDU,LIM
LIM,IAH
CMN,XIY
KMG,ORD
SFO,IAH
DOH,HND
FRA,DMK
BCN,DEN
DXB,LIM
MEX,SHA
BSB,JED
JNB,MIA
LHR,LGW
BOM,MNL
LHR,CDG
ADL,LOS
HKG,MEX
MAD,LAS
PVG,DEN
HGH,FRA
MCO,SCL
PHX,HKG
ORD,MIA
TUN,HRG
MEX,JNB
LAX,SCL
IST,CLT
EZE,LIM
HGH,JED
SGN,HGH
BOS,CLO
JNB,SFO
BOM,JED
TPE,FRA
CAI,JNB
ORD,EWR
DMK,LGW
ORD,MEL
ADD,HGH
CKG,ORD
JFK,KUL
BKK,SEA
LGW,KMG
CKG,CAN
SVO,FRA
JFK,CAN
PVG,KUL
TPE,IAH
MCO,PEK
LAX,HRG
ICN,CKG
KUL,XIY
PEK,HND
CGK,SYD
ADD,CMN
DEL,MNL
DEL,CAN
LOS,YYZ
DEL,CBR
SGN,LAX
CMN,CAI
LAX,SGN
YYZ,LAS
ALG,DXB
EWR,SHA
ORD,SYD
JFK,BOS
CBR,LHR
MIA,SIN
PVG,JED
NBO,LIM
IST,YYZ
GRU,JED
LIM,BOS
BOS,IST
SVO,SEA
SHA,DEN
CKG,PEK
KMG,HKG
LIM,DOH
LOS,SVO
LOS,DFW
AMS,HGH
JED,BOG
CAI,LOS
CPT,ATL
SZX,ALG
ALG,MAD
BSB,HRG
LAX,DEL
JFK,DFW
CDG,NBO
MCO,MNL
AMS,JNB
BOM,PVG
CAN,BSB
HKG,BOM
CPT,XIY
MEX,AKL
MEX,SGN
YYZ,CBR
MEX,KMG
DMK,IAH
SCL,LHR
LAS,ADL
SCL,MNL
HRG,JNB
LGW,SEA
JED,CGK
DOH,ADD
HRG,BSB
AKL,ALG
MNL,BSB
BSB,AKL
MAD,TPE
LHR,MEL
EZE,CKG
IAH,NBO
CDG,LOS
LIM,EWR
DOH,CMN
SFO,DOH
SZX,MAD
BOM,LIM
PEK,BKK
FRA,KUL
EWR,LAS
SDU,JFK
CAN,DFW
JFK,CLT
XIY,JFK
NBO,DXB
MEX,LHR
CKG,JNB
HRG,BOG
CMN,ADD
LAS,BKK
DFW,JNB
CKG,ADD
MAD,ADL
NBO,GRU
DXB,SDU
FRA,CMN
ORD,DFW
DEL,ADL
HND,HRG
CKG,HND
CDG,CLO
ICN,LOS
CAN,SHA
ADL,DXB
BOS,CLT
HKG,PHX
ICN,SCL
JNB,ADD
ORD,GRU
XIY,CLT
LAX,LOS
BOG,ICN
CPT,CBR
SEA,CPT
SGN,DMK
GRU,BOM
SVO,EZE
ICN,PHX
SEA,LGW
HRG,LHR
ORD,BCN
GRU,XIY
CBR,DEL
DFW,DEN
GRU,LGW
SZX,SFO
MCO,LHR
MIA,HRG
TPE,MNL
CDG,SDU
LOS,SIN
SFO,SCL
ATL,IAH
BOS,CBR
SEA,BOG
LAX,BOS
TPE,SGN
CKG,SDU
KMG,PEK
CKG,SGN
SIN,NBO
TPE,LGW
CPT,IAH
JFK,CGK
LOS,IST
CAN,MEL
JFK,YYZ
LHR,ORD
HND,CKG
SFO,HND
SFO,LHR
ADD,SGN
CBR,MIA
AMS,GRU
XIY,DXB
HGH,SEA
CBR,JFK
BOG,CAN
JED,DEL
HKG,DOH
FRA,HRG
SFO,CLO
MEL,CMN
HND,ATL
GRU,CLT
LAX,CMN
ADD,MIA
PEK,SZX
LGW,LAX
JNB,BCN
BOM,SZX
SHA,JED
TPE,IST
ADD,CAN
KUL,EWR
SFO,FRA
SCL,DEN
BOS,DOH
BCN,BOM
XIY,BOM
EZE,CAI
GRU,BOS
ALG,SGN
JED,ICN
ADL,DEL
DFW,SYD
BCN,CDG
HRG,LAX
KMG,MEX
PVG,SCL
CLT,DMK
CMN,PHX
MAD,SYD
MCO,CLO
HND,PEK
HKG,LAS
AMS,ICN
GRU,CAI
CKG,DFW
LIM,ORD
XIY,CDG
DEN,LAX
ORD,ICN
LGW,LIM
SIN,PVG
CLT,SYD
ATL,MEX
KUL,MCO
SCL,XIY
GRU,ADD
MAD,DXB
SGN,JNB
BCN,BKK
DFW,DMK
PHX,SGN
TUN,LOS
XIY,TUN
CMN,MNL
PHX,ORD
CLT,MAD
DOH,CDG
SDU,CLO
LGW,PHX
ICN,DEN
HGH,CAN
SZX,CBR
NBO,LHR
CBR,BCN
LHR,SIN
SHA,CAI
SEA,TPE
TUN,CGK
CDG,SZX
TUN,SYD
MAD,PHX
SZX,JNB
LGW,SYD
CLO,ALG
MIA,KUL
SFO,BOG
AMS,ATL
BOS,DEL
BOS,GRU
CLO,EWR
PVG,ALG
BSB,AMS
DOH,MNL
SZX,SGN
YYZ,MCO
ICN,HGH
ATL,NBO
CBR,HKG
DOH,EWR
DXB,SIN
YYZ,CMN
DMK,ADD
LAX,MEX
CBR,CKG
CGK,DEL
HRG,JFK
MCO,EWR
HGH,MEX
CLO,MEL
MAD,DEL
BOG,KMG
MIA,HKG
ADD,LIM
MCO,SHA
HND,DEN
MCO,XIY
HRG,LGW
BSB,SIN
TUN,SHA
PEK,GRU
LHR,SDU
SZX,CPT
CPT,EWR
BOM,CKG
LAS,ADD
LHR,JED
BCN,DMK
BCN,HKG
EWR,IAH
KMG,TPE
ORD,LOS
SZX,SYD
YYZ,HND
JFK,LAX
XIY,AMS
HGH,DEL
DXB,CLO
LGW,MNL
DEL,DEN
CLO,CPT
LOS,FRA
CGK,BSB
SEA,LHR
BKK,TUN
BSB,TUN
GRU,CGK
CKG,TPE
NBO,TPE
CKG,TUN
JNB,LAS
SEA,DOH
BOM,MEX
BOG,MCO
SIN,JFK
BCN,TUN
HGH,HND
IST,CGK
CLT,HGH
MEX,CPT
DOH,EZE
LOS,CGK
IAH,KUL
PEK,MEL
LGW,ATL
KMG,MEL
JFK,MNL
LAX,CLT
DXB,DMK
XIY,TPE
MIA,SHA
ADD,FRA
TUN,MCO
SCL,MEX
