ID_start,ID_end
XIY,ALG
ALG,SVO
SVO,JED
JED,AMS
AMS,ADL
ADL,CLO
CLO,IAH
IAH,LAX
LAX,MAD
MAD,BOS
BOS,HGH
HGH,DXB
DXB,PEK
PEK,ATL
ATL,GRU
GRU,CAN
CAN,EZE
EZE,SGN
SGN,MCO
MCO,BOG
BOG,MEX
MEX,TUN
TUN,SZX
SZX,JFK
JFK,TPE
TPE,SFO
SFO,HND
HND,BCN
BCN,BKK
BKK,MIA
MIA,DEL
DEL,CKG
CKG,IST
IST,PHX
PHX,YYZ
YYZ,SHA
SHA,SEA
SEA,LIM
LIM,AKL
AKL,LAS
LAS,BOM
BOM,CPT
CPT,DEN
DEN,ICN
ICN,SIN
SIN,DFW
DFW,CBR
CBR,SDU
SDU,LHR
LHR,DMK
DMK,SYD
SYD,EWR
EWR,CAI
CAI,MEL
MEL,HKG
HKG,CGK
CGK,ORD
ORD,KMG
KMG,CDG
CDG,KUL
KUL,HRG
HRG,LOS
LOS,JNB
JNB,CLT
CLT,BSB
BSB,MNL
MNL,PVG
PVG,SCL
SCL,NBO
NBO,LGW
LGW,FRA
FRA,ADD
ADD,DOH
DOH,CMN
PHX,SVO
BOG,MAD
AMS,LAS
BSB,CDG
DEN,YYZ
LAX,LIM
SZX,KUL
BKK,AMS
SIN,BOS
HGH,CLO
TUN,BOM
LGW,PHX
CBR,TUN
CBR,CLO
SFO,EZE
PVG,LGW
MEL,PHX
BOM,SDU
DMK,BOM
EWR,BOM
DFW,PVG
SCL,TPE
DXB,CKG
KUL,TUN
DEN,EZE
ATL,IAH
SHA,ORD
LHR,PVG
SFO,ORD
HRG,CGK
LAS,SFO
SCL,SVO
CGK,LOS
SFO,SCL
BKK,LHR
IAH,JFK
BSB,JFK
AMS,HGH
IAH,FRA
CAN,AKL
SDU,PEK
CAI,ALG
CGK,HKG
LOS,TPE
MCO,ALG
DOH,IAH
LHR,BSB
SIN,FRA
AMS,EZE
EZE,ORD
SGN,KMG
MNL,BOM
SVO,MAD
BSB,HND
CLO,JNB
HGH,JFK
MEL,HGH
YYZ,BSB
CGK,DEL
CAN,MCO
BKK,CBR
DXB,FRA
TPE,CLO
