ID_start,ID_end
SCL,NBO
NBO,FRA
FRA,JED
JED,DEL
DEL,HRG
HRG,ADD
ADD,IAH
IAH,SGN
SGN,JFK
JFK,MEX
MEX,ATL
ATL,EZE
EZE,AKL
AKL,SHA
SHA,ORD
ORD,YYZ
YYZ,CDG
CDG,CMN
CMN,DOH
DOH,LGW
LGW,LAX
LAX,BOS
BOS,BKK
BKK,HND
HND,ALG
ALG,DEN
DEN,BSB
BSB,SYD
SYD,SDU
SDU,DMK
DMK,CLO
CLO,DFW
DFW,MNL
MNL,TUN
TUN,TPE
TPE,AMS
AMS,MEL
MEL,XIY
XIY,BOG
BOG,KMG
KMG,CGK
CGK,CLT
CLT,ICN
ICN,ADL
ADL,LAS
LAS,SEA
SEA,SIN
SIN,DXB
DXB,GRU
GRU,SZX
SZX,PVG
PVG,JNB
JNB,BOM
BOM,HGH
HGH,BCN
BCN,IST
IST,PEK
PEK,CKG
CKG,EWR
EWR,HKG
HKG,CAN
CAN,SFO
SFO,PHX
PHX,MCO
MCO,KUL
KUL,MIA
MIA,LHR
LHR,LOS
LOS,LIM
LIM,CAI
CAI,CBR
CBR,CPT
CPT,MAD
MAD,SVO
CBR,MAD
MIA,IAH
BOS,XIY
DXB,CLO
LAS,HND
SFO,SZX
ADD,MCO
DXB,BKK
KMG,ORD
SFO,SIN
DFW,CAI
MIA,SDU
BOS,DEL
IAH,HKG
CPT,FRA
ADL,MAD
JED,SZX
DEL,HGH
KUL,CLO
BKK,ICN
JNB,BSB
MIA,CPT
LAS,HRG
AMS,BOM
YYZ,DMK
ADL,NBO
PHX,LHR
CGK,SEA
BSB,MEL
DFW,LAX
JNB,SFO
SZX,BKK
SVO,NBO
SFO,TUN
SDU,TPE
BKK,MEL
ATL,DOH
KUL,LOS
BOS,CPT
NBO,SYD
IST,IAH
CPT,SYD
LIM,FRA
SEA,CLT
MEX,LGW
PVG,BOM
HRG,LAS
AMS,CMN
DXB,CPT
SFO,JNB
SFO,GRU
HGH,MNL
MEX,ALG
LAX,JFK
HKG,BOM
ICN,DMK
HND,BOG
TPE,DXB
AKL,CMN
BOS,ICN
DXB,LIM
CDG,BSB
BCN,FRA
EZE,CAN
HKG,CGK
