ID_start,ID_end
SFO,CDG
CDG,XIY
XIY,BOG
BOG,SGN
SGN,CGK
CGK,DXB
DXB,SEA
SEA,CPT
CPT,SDU
SDU,MEL
MEL,GRU
GRU,ALG
ALG,DOH
DOH,CAI
CAI,BSB
BSB,HRG
HRG,SCL
SCL,IAH
IAH,CMN
CMN,HGH
HGH,LOS
LOS,SYD
SYD,KUL
KUL,LHR
LHR,ADL
ADL,BOS
BOS,MEX
MEX,DEL
DEL,PVG
PVG,BCN
BCN,DEN
DEN,ORD
ORD,LGW
LGW,BKK
BKK,HKG
HKG,ADD
ADD,KMG
KMG,PEK
PEK,MCO
MCO,MAD
MAD,CKG
CKG,PHX
PHX,BOM
BOM,LAS
LAS,AKL
AKL,ATL
ATL,EWR
EWR,MNL
MNL,CAN
CAN,TUN
TUN,LIM
LIM,EZE
EZE,DFW
DFW,CLO
CLO,LAX
LAX,SIN
SIN,SZX
SZX,CBR
CBR,DMK
DMK,MIA
MIA,SHA
SHA,IST
IST,AMS
AMS,FRA
FRA,YYZ
YYZ,NBO
NBO,SVO
SVO,HND
HND,TPE
TPE,JED
JED,JNB
JNB,JFK
JFK,ICN
ICN,CLT
CLT,CGK
MEL,BOM
MCO,LAX
IAH,DEN
HKG,DXB
JFK,DXB
ICN,SEA
SDU,DXB
TPE,HND
KMG,ADD
LOS,CBR
DOH,BOG
CKG,CLT
GRU,JFK
MAD,AMS
SZX,AKL
LAS,CKG
BSB,TUN
MAD,PHX
ORD,JFK
LIM,SHA
MIA,BOG
EZE,CMN
DEN,LOS
HKG,CAI
ALG,LGW
MEL,KMG
KUL,CAN
SFO,SVO
DFW,AKL
TPE,AKL
SGN,ALG
SDU,EWR
LIM,KUL
SHA,SEA
LGW,MCO
SCL,JFK
SZX,KUL
GRU,LIM
CDG,DXB
ATL,MEL
LAX,CAI
LAS,CLO
DFW,YYZ
LHR,MEL
AMS,DOH
MNL,SGN
AKL,CAI
CBR,IST
LGW,MIA
MEX,CKG
PVG,DEL
SEA,CLT
CGK,SHA
ADL,JED
ICN,NBO
CAI,LOS
ORD,DEN
DXB,SDU
SEA,CGK
LAS,MEX
LOS,SDU
TUN,EZE
TPE,CDG
MCO,NBO
SGN,LOS
ORD,KUL
CBR,SGN
MCO,DXB
KUL,CAI
DOH,KMG
JED,EZE
ADD,SVO
MAD,FRA
SZX,MIA
SIN,TUN
MEX,AMS
LGW,HND
EZE,JFK
HGH,MEX
CDG,PHX
HKG,EWR
LGW,AMS
HRG,SFO
KMG,LGW
TPE,IAH
DMK,DXB
PEK,BSB
MNL,JFK
HND,SIN
SZX,BOS
ALG,CLT
JNB,MCO
AMS,HRG
AMS,EWR
BKK,JNB
CKG,SGN
HND,LIM
DOH,LGW
MAD,CAI
LOS,HRG
LIM,ORD
MCO,ALG
CKG,CLO
LGW,CKG
DMK,BSB
LHR,SZX
CKG,ADL
LHR,SGN
JNB,ORD
JED,ADL
HGH,LIM
CPT,MEL
MEL,HND
DEL,XIY
CBR,SYD
LIM,JED
BOG,JED
DFW,EWR
ATL,CLO
IAH,DXB
FRA,EWR
KUL,BCN
BKK,SEA
YYZ,SDU
JNB,SVO
JED,YYZ
ADD,DOH
EWR,CLO
HKG,IST
CDG,BOS
JED,CPT
KMG,SGN
CMN,SGN
SZX,GRU
CLO,EZE
SGN,MAD
XIY,LOS
CMN,AMS
BSB,TPE
CAI,AKL
IST,DOH
YYZ,LGW
CLT,ADL
PEK,CMN
LAX,DEN
SDU,BCN
DOH,NBO
SFO,HRG
DFW,MCO
BOS,CMN
YYZ,CAI
SFO,HND
ALG,IAH
PHX,MNL
CLO,PHX
IAH,LOS
CAN,ICN
DFW,NBO
ORD,EWR
ICN,CAN
CAI,DEL
CLO,BOS
IAH,DOH
MCO,LHR
AKL,BOM
ATL,AMS
BKK,PVG
NBO,CMN
BKK,CLT
AKL,YYZ
MEL,JED
MIA,TUN
SVO,LAX
MNL,PEK
SIN,EWR
SDU,CPT
GRU,SHA
ICN,MCO
SYD,PHX
HND,DMK
FRA,JED
LOS,AMS
BOG,LGW
LOS,JNB
CBR,LGW
SIN,ATL
PHX,CDG
FRA,BKK
BOG,GRU
SDU,EZE
SZX,SDU
BCN,KUL
MNL,SVO
CKG,SIN
EWR,BOS
NBO,SGN
EWR,CGK
YYZ,ALG
JNB,FRA
XIY,ADL
HRG,ALG
BOM,CKG
LOS,NBO
BOG,SYD
GRU,FRA
HRG,NBO
SHA,SZX
YYZ,ADD
CPT,HKG
SEA,BSB
XIY,DEN
LIM,FRA
SVO,SCL
JNB,NBO
HND,SFO
SGN,DEL
DMK,SDU
CKG,CMN
SGN,CLT
HGH,AKL
CPT,BOS
JED,JFK
SCL,FRA
SGN,YYZ
DXB,FRA
IST,NBO
KUL,GRU
MNL,GRU
MEL,ADL
GRU,MEX
HGH,ICN
BSB,SIN
ADD,CDG
LAX,XIY
IST,KUL
IST,LHR
HRG,LIM
BSB,DEL
SIN,LOS
YYZ,CGK
PVG,MEL
MAD,TPE
DMK,ADL
SIN,LAS
SIN,MEX
KUL,SIN
FRA,ORD
BCN,DOH
LAS,EZE
MNL,DFW
BKK,HRG
XIY,NBO
PEK,AMS
SZX,LOS
DEL,EZE
BOS,CKG
CLO,TPE
CPT,CLO
AMS,MAD
BOM,DMK
SVO,SIN
EZE,SEA
HRG,LOS
TUN,JNB
LAX,DFW
MCO,EWR
DEL,CAN
MEX,ADD
SGN,JED
BOS,LAX
HGH,CBR
PHX,DFW
MCO,CBR
DEL,MEL
BOG,SZX
BOM,SIN
SEA,TUN
