ID_start,ID_end
CDG,SZX
SZX,EWR
EWR,CMN
CMN,CAN
CAN,MCO
MCO,BCN
BCN,ATL
ATL,PVG
PVG,LOS
LOS,ICN
ICN,LGW
LGW,MEX
MEX,DEN
DEN,MAD
MAD,DOH
DOH,DEL
DEL,SIN
SIN,DMK
DMK,BOM
BOM,SEA
SEA,JFK
JFK,CLO
CLO,SHA
SHA,SFO
SFO,MIA
MIA,KMG
KMG,MEL
MEL,PEK
PEK,LAS
LAS,BKK
BKK,FRA
FRA,JNB
JNB,ALG
ALG,BOG
BOG,ADD
ADD,LIM
LIM,CBR
CBR,SYD
SYD,EZE
EZE,SDU
SDU,HND
HND,SGN
SGN,TUN
TUN,LAX
LAX,MNL
MNL,CKG
CKG,CPT
CPT,XIY
XIY,BOS
BOS,ORD
ORD,BSB
BSB,TPE
TPE,PHX
PHX,CAI
CAI,NBO
NBO,DXB
DXB,HKG
HKG,SCL
SCL,CGK
CGK,SVO
SVO,CLT
CLT,KUL
KUL,LHR
LHR,JED
JED,YYZ
YYZ,ADL
ADL,IAH
IAH,IST
IST,HGH
HGH,GRU
GRU,HRG
HRG,DFW
DFW,AKL
AKL,AMS
AMS,NBO
SIN,YYZ
BSB,DEL
BSB,FRA
PHX,BSB
SIN,DEN
DMK,AMS
DEL,BCN
CPT,SIN
ICN,CAI
SDU,BCN
LHR,XIY
CAI,AMS
BOM,EWR
SGN,AMS
NBO,DMK
HRG,ATL
DMK,LOS
DMK,SCL
LOS,TPE
HGH,LHR
HGH,JNB
BOM,EZE
HGH,BOM
ICN,SDU
HGH,SDU
AMS,TUN
LOS,LAS
ADL,MNL
CAI,CPT
XIY,CAN
CPT,BKK
LAX,LOS
JED,SDU
SZX,PVG
MEL,LGW
BCN,SHA
PVG,SYD
FRA,LGW
SYD,GRU
LGW,BKK
MAD,GRU
LOS,IAH
JED,DEL
DEN,SHA
MEX,ICN
BKK,LGW
DOH,BOM
ADD,SYD
BOS,LHR
CDG,CLO
LGW,HGH
BSB,SDU
BSB,DMK
ATL,CPT
LAX,DMK
XIY,SFO
BCN,GRU
CDG,MAD
LAS,SIN
HND,LIM
KMG,EZE
AKL,EZE
SCL,ICN
CAN,BCN
MAD,TUN
HRG,BKK
HGH,SFO
SVO,AMS
